key,gene,direction,celltype,silhouette
KIF5A_down,KIF5A,down,Ex.L3_L5.SCN4B_NEFH,0.059930603951215744
KIF5A_up,KIF5A,up,Ex.L5.VAT1L_THSD4,0.06664160639047623
KIF5A_up,KIF5A,up,Ex.L5.VAT1L_EYA4,0.07776477932929993
KIF5A_up,KIF5A,up,Ex.L3_L5.SCN4B_NEFH,0.059710800647735596
DCTN1_down,DCTN1,down,Ex.L5.VAT1L_THSD4,0.06709332764148712
DCTN1_down,DCTN1,down,Ex.L5.VAT1L_EYA4,0.07706490904092789
DCTN1_down,DCTN1,down,Ex.L3_L5.SCN4B_NEFH,0.059642791748046875
DCTN1_up,DCTN1,up,Ex.L5.VAT1L_THSD4,0.06647587567567825
DCTN1_up,DCTN1,up,Ex.L5.VAT1L_EYA4,0.0779448077082634
DCTN1_up,DCTN1,up,Ex.L3_L5.SCN4B_NEFH,0.05973808839917183
DYNC1H1_down,DYNC1H1,down,Ex.L5.VAT1L_THSD4,0.06705508381128311
DYNC1H1_down,DYNC1H1,down,Ex.L5.VAT1L_EYA4,0.07705000787973404
DYNC1H1_down,DYNC1H1,down,Ex.L3_L5.SCN4B_NEFH,0.06006677821278572
DYNC1H1_up,DYNC1H1,up,Ex.L5.VAT1L_THSD4,0.06645450741052628
DYNC1H1_up,DYNC1H1,up,Ex.L5.VAT1L_EYA4,0.07749488949775696
DYNC1H1_up,DYNC1H1,up,Ex.L3_L5.SCN4B_NEFH,0.059837792068719864
TUBA4A_down,TUBA4A,down,Ex.L5.VAT1L_THSD4,0.06706681847572327
TUBA4A_down,TUBA4A,down,Ex.L5.VAT1L_EYA4,0.07734748721122742
TUBA4A_down,TUBA4A,down,Ex.L3_L5.SCN4B_NEFH,0.05974797531962395
TUBA4A_up,TUBA4A,up,Ex.L5.VAT1L_THSD4,0.06684255599975586
TUBA4A_up,TUBA4A,up,Ex.L5.VAT1L_EYA4,0.07700885087251663
TUBA4A_up,TUBA4A,up,Ex.L3_L5.SCN4B_NEFH,0.05921813100576401
NEFH_down,NEFH,down,Ex.L5.VAT1L_THSD4,0.06696333736181259
NEFH_down,NEFH,down,Ex.L5.VAT1L_EYA4,0.07673781365156174
NEFH_down,NEFH,down,Ex.L3_L5.SCN4B_NEFH,0.060369476675987244
NEFH_up,NEFH,up,Ex.L5.VAT1L_THSD4,0.06683923304080963
NEFH_up,NEFH,up,Ex.L5.VAT1L_EYA4,0.07795828580856323
NEFH_up,NEFH,up,Ex.L3_L5.SCN4B_NEFH,0.05985875800251961
TTC14_down,TTC14,down,Ex.L5.VAT1L_THSD4,0.06697158515453339
TTC14_down,TTC14,down,Ex.L5.VAT1L_EYA4,0.07728004455566406
TTC14_down,TTC14,down,Ex.L3_L5.SCN4B_NEFH,0.06023424118757248
TTC14_up,TTC14,up,Ex.L5.VAT1L_THSD4,0.06637641042470932
TTC14_up,TTC14,up,Ex.L5.VAT1L_EYA4,0.07785564661026001
TTC14_up,TTC14,up,Ex.L3_L5.SCN4B_NEFH,0.05970778316259384
HSP90AA1_down,HSP90AA1,down,Ex.L5.VAT1L_THSD4,0.06708304584026337
HSP90AA1_down,HSP90AA1,down,Ex.L5.VAT1L_EYA4,0.07760767638683319
HSP90AA1_down,HSP90AA1,down,Ex.L3_L5.SCN4B_NEFH,0.05985986068844795
HSP90AA1_up,HSP90AA1,up,Ex.L5.VAT1L_THSD4,0.06630345433950424
HSP90AA1_up,HSP90AA1,up,Ex.L5.VAT1L_EYA4,0.07743405550718307
HSP90AA1_up,HSP90AA1,up,Ex.L3_L5.SCN4B_NEFH,0.059890016913414
